mac,hn,ip,mask,gw,vlan,nic,ver,firstdisk,nvmetier
00-50-56-a9-5a-86,esx00.wynner.ie,192.168.10.254,255.255.255.0,192.168.10.1,10,vmnic0,9.0.0.100,local,
38:05:25:30:72:01,esx01.wynner.ie,192.168.10.6,255.255.255.0,192.168.10.1,10,vmnic1,9.0.0.100,"Lexar SSD NM620 512GB","Samsung SSD 990 PRO 2TB"
00-50-56-a9-22-33,esx02.wynner.ie,192.168.10.7,255.255.255.0,192.168.10.1,10,vmnic1,9.0.0.100,"Lexar SSD NM620 512GB","Samsung SSD 990 PRO 2TB"
38:05:25:30:72:b9,esx03.wynner.ie,192.168.10.8,255.255.255.0,192.168.10.1,10,vmnic1,9.0.0.100,"Lexar SSD NM620 512GB","Samsung SSD 990 PRO 2TB"
00-50-56-a9-22-33,esx04.wynner.ie,192.168.10.9,255.255.255.0,192.168.10.1,10,vmnic1,9.0.0.100,"Lexar SSD NM620 512GB","Samsung SSD 990 PRO 2TB"
38:05:25:30:75:7d,esx05.wynner.ie,192.168.10.10,255.255.255.0,192.168.10.1,10,vmnic1,8.0.3.0,"Lexar SSD NM620 512GB","Samsung SSD 990 PRO 2TB"
38:05:25:30:72:e5,esx06.wynner.ie,192.168.10.11,255.255.255.0,192.168.10.1,10,vmnic1,8.0.3.0,"Lexar SSD NM620 512GB","Samsung SSD 990 PRO 2TB"
38:05:25:33:8a:5f,esx07.wynner.ie,192.168.10.12,255.255.255.0,192.168.10.1,10,vmnic1,9.0.0.100,"Lexar SSD NM620 512GB","Samsung SSD 990 PRO 2TB"
38:05:25:33:71:2d,esx08.wynner.ie,192.168.10.13,255.255.255.0,192.168.10.1,10,vmnic1,9.0.0.100,"Lexar SSD NM620 512GB","Samsung SSD 990 PRO 2TB"
38:05:25:33:90:d7,esx09.wynner.ie,192.168.10.14,255.255.255.0,192.168.10.1,10,vmnic1,9.0.0.100,"Lexar SSD NM620 512GB","Samsung SSD 990 PRO 2TB"
38:05:25:33:8e:5f,esx10.wynner.ie,192.168.10.15,255.255.255.0,192.168.10.1,10,vmnic1,9.0.0.100,"Lexar SSD NM620 512GB","Samsung SSD 990 PRO 2TB"
38:05:25:33:8d:c3,esx11.wynner.ie,192.168.10.16,255.255.255.0,192.168.10.1,10,vmnic1,9.0.1.0,"Lexar SSD NM620 512GB","Samsung SSD 990 PRO 2TB"
